name,type,propername,source,cost,cost qty,cost unit,cost per unit,unit,max,step,dose unit,dv,qty,ingredients,blurb,info source
bcaa211,supplement,BCAA 2:1:1,https://www.bulksupplements.com/products/bcaa-2-1-1-branched-chain-amino-acids-powder?_pos=1&_sid=dc308d1a9&_ss=r,430.54,25000,g,0.017,$/g,20,0.1,g,N/A,0,Other Ingredients: Sunflower Lecithin,"Branched Chain Amino Acids (BCAAs) refers to three amino acids: leucine, isoleucine, and valine. For people with low dietary protein intake, BCAA supplementation can promote muscle protein synthesis and increase muscle growth over time. Supplementation can also be used to prevent fatigue in novice athletes.",https://examine.com/supplements/branched-chain-amino-acids/
bcaa312,supplement,BCAA 3:1:2,https://www.bulksupplements.com/products/bcaa-3-1-2-branched-chain-amino-acids-powder?_pos=2&_sid=dc308d1a9&_ss=r&variant=32133375164527,132.96,5000,g,0.027,$/g,20,0.1,g,N/A,0,Other Ingredients: Sunflower Lecithin,"Branched Chain Amino Acids (BCAAs) refers to three amino acids: leucine, isoleucine, and valine. For people with low dietary protein intake, BCAA supplementation can promote muscle protein synthesis and increase muscle growth over time. Supplementation can also be used to prevent fatigue in novice athletes.",https://examine.com/supplements/branched-chain-amino-acids/
betaalanine,supplement,Beta Alanine,https://www.bulksupplements.com/products/beta-alanine?variant=32133377753199,253.09,25000,g,0.010,$/g,5,0.1,g,1.2,0,None,"Beta-alanine is a modified version of the amino acid alanine. Beta-alanine has been shown to enhance muscular endurance. Beta-alanine supplementation can also improve moderate- to high-intensity cardiovascular exercise performance, like rowing or sprinting. When beta-alanine is ingested, it turns into the molecule carnosine, which acts as an acid buffer in the body. Carnosine is stored in cells and released in response to drops in pH. Large doses of beta-alanine may cause a tingling feeling called paresthesia. It is a harmless side effect.",https://examine.com/supplements/beta-alanine/
caffeine,supplement,Caffeine,https://www.bulksupplements.com/products/caffeine-synthetic-powder,487.00,20000,g,0.024,$/g,0.3,0.001,g,0.2,0,Caffeine Anhydrous,"Caffeine is a powerful stimulant, and it can be used to improve physical strength and endurance. It is classified as a nootropic because it sensitizes neurons and provides mental stimulation. Caffeine’s main mechanism concerns antagonizing adenosine receptors. Adenosine causes sedation and relaxation when it acts upon its receptors, located in the brain. Caffeine prevents this action and causes alertness and wakefulness. This inhibition of adenosine can influence the dopamine, serotonin, acetylcholine, and adrenaline systems.",https://examine.com/supplements/caffeine/
creatine_cee,supplement,Creatine Ethyl Ester,https://www.bulksupplements.com/products/creatine-ethyl-ester-hcl-cee-powder?_pos=2&_sid=b21108f5d&_ss=r,67.96,1000,g,0.068,$/g,5,0.1,g,N/A,0,None,"Creatine is a molecule that's produced in the body from amino acids. It's primarily made in the liver and to a lesser extent in the kidneys and pancreas. It stores high-energy phosphate groups in the form of phosphocreatine which are donated to ADP, regenerating it to ATP, the primary energy carrier in the body. This role in energy production is particularly relevant under conditions of high energy demand such as intense physical or mental activity. Creatine can be found in some foods and is most prevalent in meat and fish. Athletes commonly take it as a powder or in capsules.",
creatine_hcl,supplement,Creatine Monohydrate,https://www.bulksupplements.com/products/creatine-monohydrate,261.96,5000,g,0.052,$/g,5,0.1,g,N/A,0,None,"Creatine is a molecule that's produced in the body from amino acids. It's primarily made in the liver and to a lesser extent in the kidneys and pancreas. It stores high-energy phosphate groups in the form of phosphocreatine which are donated to ADP, regenerating it to ATP, the primary energy carrier in the body. This role in energy production is particularly relevant under conditions of high energy demand such as intense physical or mental activity. Creatine can be found in some foods and is most prevalent in meat and fish. Athletes commonly take it as a powder or in capsules.",https://examine.com/supplements/creatine/
larganine,supplement,L-Arganine,https://www.bulksupplements.com/products/l-arginine-hcl-powder?variant=32133417631855,142.96,5000,g,0.029,$/g,2,0.1,g,N/A,0,None,L-Arginine is a conditionally essential amino acid found in the diet. It is a dietary supplement used mostly by athletic people because it is the amino acid that directly produces nitric oxide via the nitric oxide synthase enzymes.,https://examine.com/supplements/arginine/
lcitrulline,supplement,L-Citrulline,https://www.bulksupplements.com/products/l-citrulline-pure-powder?variant=32133419827311,166.96,5000,g,0.033,$/g,5,0.1,g,N/A,0,None,"L-Citrulline is one of the three dietary amino acids in the urea cycle, alongside L-arginine and L-Ornithine. Taking L-citrulline increases plasma levels of ornithine and arginine and improves the ammonia recycling process and nitric oxide metabolism. Consequently, it is used in areas where nitric oxide is relevant, namely athletic performance, and vascular health, and erectile dysfunction. There are very few foods that have notable amounts of citrulline, watermelon being a notable exception.",https://examine.com/supplements/citrulline/
lisoleucine,supplement,L-Isoleucine,https://www.bulksupplements.com/products/l-isoleucine-powder?_pos=10&_sid=dc308d1a9&_ss=r,156.96,5000,g,0.031,$/g,50,0.1,g,N/A,0,None,"L-Isoleucine is a branched chain amino acid (BCAA) that helps the body to produce energy and aids in athletic endurance. It also helps promote muscle growth when taken in conjunction with exercise. L Isoleucine can be found in different foods, but taking a supplement is often the best way to ensure you're getting enough.",bulk page
lleucine,supplement,L-Leucine,https://www.bulksupplements.com/products/l-leucine-powder?_pos=4&_sid=dc308d1a9&_ss=r,419.98,25000,g,0.017,$/g,10,0.1,g,N/A,0,None,"L-Leucine is a branched chain amino acid (BCAA) that helps increase athletic performance. BCAA's help promote lean muscle growth and aid in muscle recovery. L-Leucine is particularly beneficial in boosting athletic endurance. It is also the most anabolic of all the amino acids, meaning it promotes the building of muscle tissue.",bulk page
